transcript_id,Am_03,Am_06,Am_09,Am_12,Am_15,Am_16,Am_17,Am_18,Am_19,Am_20,Am_21,Am_22,Am_23,Am_24,Am_27
rna-XM_053389354.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053389269.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128415635,1,2,4,1,2,1,1,1,2,2,3,0,2,2,1
rna-XM_053390536.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053391719.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053391642.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365683.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008327586.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365779.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365669.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365520.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365538.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053365529.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053390231.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053390316.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053390402.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053392623.1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
rna-XM_053392541.1,167,78,54,17,38,0,51,45,0,41,92,87,67,58,54
rna-XM_053388293.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053388373.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053388451.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053392985.1,111,0,0,0,0,0,0,0,0,0,60,60,48,0,0
rna-XM_053395922.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053396736.1,79,45,26,44,58,21,48,57,22,59,61,39,65,42,40
rna-XM_053398648.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053398725.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053394914.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053394849.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053395137.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053395224.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053395478.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053394969.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053395055.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053395396.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053395562.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053395310.1,740,492,409,249,386,356,385,376,468,210,715,461,357,231,296
rna-XM_053402033.1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
rna-XM_053402117.1,459,374,279,190,181,209,296,276,153,271,350,259,276,218,153
rna-XM_053397548.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053397589.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332331.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008331928.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053402458.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053402240.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332106.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053401036.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053402322.1,2,0,2,2,0,0,0,2,0,0,0,4,2,4,0
rna-XM_053403411.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053403330.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405599.1,0,0,305,0,0,0,0,0,0,0,0,0,36,0,0
rna-XM_053405334.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405421.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405688.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053407407.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332619.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008327854.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053407277.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053407189.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405508.1,1304,813,261,356,599,390,505,495,469,630,592,635,557,429,483
rna-XM_053404739.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332520.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332660.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406171.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406248.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405813.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405904.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405990.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406078.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406585.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406879.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406709.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406793.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053407058.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053406973.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366272.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053404878.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053404955.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053405084.1,214,63,34,54,31,66,62,87,1168,100,38,9,12,2,34
rna-XM_053409653.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053409562.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053409746.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053409828.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053409956.1,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
rna-XR_008332945.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332953.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332950.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332938.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053359636.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053359729.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008327187.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053407665.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366117.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366025.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053359518.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053364382.1,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0
rna-XM_053364473.1,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053364112.1,0,22,4,5,1,0,0,0,0,1,8,0,0,0,1
rna-XM_053364203.1,0,22,18,9,14,15,13,0,17,17,3,0,33,22,16
rna-XM_053363968.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053364025.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053363959.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053363797.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053363885.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053364294.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rna-XM_053364566.1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
rna-XM_053364649.1,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
rna-XM_053366807.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366649.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366723.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053407962.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053408053.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008332763.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053408137.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053408518.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053408356.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053408438.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053407882.1,29,0,0,8,0,0,0,0,8,0,0,0,0,12,0
rna-XM_053408269.1,119,69,73,93,118,126,111,128,93,148,60,73,73,32,76
rna-XM_053366365.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366278.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366531.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053366248.1,0,0,8,0,0,0,2,0,0,0,10,0,0,0,0
rna-XM_053366452.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053371548.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
rna-XR_008328249.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053371462.1,162,179,73,133,89,93,80,48,34,68,63,57,49,71,86
rna-XM_053368279.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053368202.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053367966.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053368046.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053368122.1,10,18,6,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053367842.1,27,10,33,23,27,17,6,13,18,23,46,51,15,16,10
rna-XM_053367922.1,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053371766.1,230,0,90,43,39,25,57,65,160,61,127,58,75,69,47
rna-XM_053372259.1,0,0,0,0,0,0,10,0,0,12,0,0,0,0,0
rna-XM_053367135.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008327929.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053367057.1,6891,4736,5939,2734,3687,4761,4247,5216,5619,4579,8335,6695,4867,6141,5340
rna-XM_053367213.1,3658,1750,555,1433,747,1641,1489,1778,2198,1704,2240,2508,1101,1621,1083
rna-XM_053372968.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053372720.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053372638.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053373028.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053372889.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053372468.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053372552.1,0,0,0,14,0,0,0,0,0,0,15,9,0,0,0
rna-XM_053372804.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053372383.1,170,86,62,33,79,63,44,64,74,91,98,131,73,77,47
rna-XM_053375145.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375136.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375154.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375126.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375110.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375118.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375100.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375187.1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
rna-XM_053375079.1,425,483,515,222,288,386,246,309,265,293,404,186,393,333,456
rna-XM_053375088.1,72,52,31,4,20,32,19,39,15,21,37,17,41,18,26
rna-XM_053375429.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375420.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375439.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375336.1,0,17,0,25,0,8,0,0,10,6,8,10,0,0,0
rna-XM_053375245.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375237.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375228.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375211.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375220.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374350.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374047.1,0,8,0,0,6,4,5,0,2,3,0,0,0,0,0
rna-XM_053373723.1,0,4,0,0,3,2,3,0,1,2,0,0,0,0,0
rna-XM_053373807.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053373880.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374190.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374265.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374434.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374506.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374601.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374686.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374778.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053373962.1,0,8,0,0,6,4,5,0,2,3,0,0,15,0,0
rna-XR_008328726.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053374126.1,20,25,0,15,19,9,7,11,17,15,27,10,0,0,0
rna-XM_053375469.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375474.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375460.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375452.1,352,401,195,227,329,245,187,166,161,219,467,451,286,341,282
rna-XM_053366498.1,1,1,2,1,1,1,1,2,1,2,1,0,2,1,1
rna-XM_053375589.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375553.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375562.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375572.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375582.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376392.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375716.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375725.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375706.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376207.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376504.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
rna-XM_053376512.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053375621.1,0,10,0,12,36,6,18,9,21,14,9,23,13,17,10
rna-XM_053375611.1,1640,1032,748,603,671,771,521,486,546,487,811,699,541,468,587
rna-XM_053366325.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008328802.1,0,0,2,4,0,0,0,0,0,1,0,0,0,4,0
rna-XM_053375788.1,0,0,14,32,0,0,0,13,0,5,17,26,10,7,0
rna-XM_053376662.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376653.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376911.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376901.1,245,177,105,108,172,140,120,118,162,122,250,205,176,145,121
rna-XM_053377000.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376963.1,0,0,0,0,13,11,0,0,0,0,0,0,0,0,0
rna-XM_053376973.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376982.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053376993.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377112.1,38,0,0,0,0,0,12,0,0,0,23,0,0,0,0
rna-XM_053377075.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377084.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377066.1,1923,1100,741,1048,1173,643,1348,1194,897,1212,2053,4054,1744,1777,984
rna-XM_053377208.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008328971.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008328970.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377199.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377183.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377218.1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
rna-XM_053377229.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377242.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377252.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377192.1,40,30,15,25,42,17,13,17,16,24,22,55,43,8,11
rna-XM_053377751.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377767.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377778.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377797.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377787.1,153,112,115,55,92,77,75,69,49,102,168,141,126,96,140
rna-XM_053377717.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377690.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377709.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377728.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377700.1,45,14,0,3,16,21,12,0,17,26,26,20,11,0,13
rna-XR_008329008.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377655.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377451.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377441.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008328984.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008328985.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377419.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377428.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377385.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377367.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377358.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377376.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377394.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377404.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377411.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377518.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377461.1,0,8,0,0,0,0,0,6,0,1,0,0,0,1,0
rna-XM_053377468.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377478.1,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0
rna-XM_053377488.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377497.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053377506.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378394.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378262.1,0,0,0,0,0,0,0,4,0,0,0,0,8,0,0
rna-XM_053378302.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378371.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378361.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378381.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378353.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378649.1,208,65,19,31,105,38,31,28,56,36,149,181,137,145,61
rna-XM_053378700.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378694.1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378705.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378759.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378766.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378769.1,23,14,16,12,26,6,8,7,10,14,9,10,5,5,16
rna-XM_053378637.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378618.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378628.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378597.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378614.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378606.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379041.1,2,0,0,0,11,0,0,0,4,0,0,0,0,0,0
rna-XM_053378891.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053378882.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379070.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379060.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379051.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379322.1,0,8,0,0,0,0,0,8,6,0,0,0,4,4,0
rna-XM_053379331.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379143.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379412.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379401.1,65,0,16,20,8,0,0,20,12,20,14,44,0,0,0
rna-XM_053379389.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379364.1,0,0,0,6,0,14,0,0,8,0,0,9,0,0,0
rna-XM_053379372.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XM_053379381.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rna-XR_008329158.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
