gene_id,Am_03,Am_06,Am_09,Am_12,Am_15,Am_16,Am_17,Am_18,Am_19,Am_20,Am_21,Am_22,Am_23,Am_24,Am_27
gene-TUBGCP2|TUBGCP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-JDP2|JDP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TMED10|TMED10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-DLST|DLST,0,8,0,0,0,0,0,8,6,0,0,0,4,4,0
gene-NEK9|NEK9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-FCF1|FCF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-AREL1|AREL1,65,0,16,20,8,0,0,20,12,20,14,44,0,0,0
gene-YLPM1|YLPM1,0,0,0,6,0,14,0,0,8,0,0,9,0,0,0
gene-ESRRB|ESRRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ALDH6A1|ALDH6A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZNF410|ZNF410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-GEMIN2|GEMIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SEC23A|SEC23A,37,0,0,0,0,0,24,0,25,0,27,0,41,0,0
gene-FBXO33|FBXO33,1221,553,498,250,380,768,769,745,362,813,634,883,590,367,926
gene-PNN|PNN,156,198,202,107,85,145,82,111,58,102,247,136,214,190,122
gene-SSTR1|SSTR1,8,15,8,13,32,4,3,8,8,2,45,12,6,6,8
gene-PROSER1|PROSER1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-BRMS1L|BRMS1L,91,31,30,23,51,56,47,22,36,40,69,69,63,69,39
gene-PSMA6|PSMA6,245,0,291,0,179,0,223,269,219,288,496,290,0,207,190
gene-PPP2R3C|PPP2R3C,0,0,0,22,21,0,17,0,0,0,0,0,0,24,33
gene-SRP54|SRP54,163,103,125,60,117,119,89,68,52,94,111,109,106,100,91
gene-LOC128409877|LOC128409877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-BAZ1A|BAZ1A,37,4,13,0,18,5,0,0,0,9,8,0,11,0,0
gene-RALGAPA1|RALGAPA1,55,29,34,20,22,28,8,11,34,9,46,31,17,14,5
gene-CFL2|CFL2,1872,1165,893,951,1238,801,1076,936,1191,880,1497,1778,954,734,1080
gene-SPTSSA|SPTSSA,5,4,7,0,0,4,3,6,5,0,6,0,4,0,5
gene-SNX6|SNX6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ARHGAP5|ARHGAP5,51,11,15,5,9,0,5,11,0,10,15,31,10,8,0
gene-AKAP6|AKAP6,15,25,24,22,60,0,35,23,8,41,18,118,32,13,28
gene-HECTD1|HECTD1,1247,1623,1039,623,822,1159,758,750,572,888,1236,1659,995,859,785
gene-SCFD1|SCFD1,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0
gene-LOC128410225|LOC128410225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-AP4S1|AP4S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-STRN3|STRN3,1186,515,387,281,396,495,456,370,830,358,585,464,425,337,358
gene-NPAS3|NPAS3,23,9,3,17,7,11,0,8,6,13,23,21,13,13,0
gene-LOC128410028|LOC128410028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PRKD1|PRKD1,54,70,87,58,71,47,16,45,42,53,107,64,71,45,49
gene-ACTC1|ACTC1,51,45,55,48,0,22,0,23,33,0,39,0,0,0,0
gene-LOC128410290|LOC128410290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-STXBP6|STXBP6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-NOVA1|NOVA1,294,136,113,114,294,132,63,122,109,108,318,187,173,129,54
gene-LOC128410346|LOC128410346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128410333|LOC128410333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128410340|LOC128410340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128410336|LOC128410336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-AQR|AQR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-EMC7|EMC7,0,0,103,0,0,0,0,0,0,72,0,0,0,0,0
gene-KATNBL1|KATNBL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128410610|LOC128410610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SRP14|SRP14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-INAFM2|INAFM2,14,33,11,36,18,31,10,27,31,16,29,12,20,10,8
gene-CCDC32|CCDC32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-RPUSD2|RPUSD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CHAC1|CHAC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-DNAJC17|DNAJC17,0,0,0,0,0,0,4,0,0,0,11,10,0,9,0
gene-C1H15orf62|C1H15orf62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CCDC9B|CCDC9B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-VPS18|VPS18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128402669|LOC128402669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-BAHD1|BAHD1,0,29,0,12,8,28,21,0,20,16,21,11,11,23,0
gene-INO80|INO80,0,14,0,0,0,0,0,0,0,5,0,0,0,0,0
gene-FSIP1|FSIP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-THBS1|THBS1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
gene-LOC128403220|LOC128403220,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1
gene-EXD1|EXD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CHP1|CHP1,0,0,0,2,0,0,0,0,8,0,0,0,0,0,0
gene-ITPKA|ITPKA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-VPS39|VPS39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TMEM87A|TMEM87A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128411104|LOC128411104,74,135,59,112,54,51,58,52,34,77,78,115,42,32,44
gene-OIP5|OIP5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-NUSAP1|NUSAP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-NDUFAF1|NDUFAF1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128411097|LOC128411097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-RTF1|RTF1,84,38,26,0,17,20,23,0,0,0,0,28,21,14,15
gene-LOC128411232|LOC128411232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-MAPKBP1|MAPKBP1,0,21,0,0,0,14,0,0,67,0,22,24,0,14,0
gene-GANC|GANC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CAPN3|CAPN3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,7
gene-ZNF106|ZNF106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128411510|LOC128411510,29,0,8,0,0,0,0,0,10,0,0,0,0,0,0
gene-DNAL1|DNAL1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-UBR1|UBR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-NUMB|NUMB,8,15,8,12,21,8,9,6,10,12,0,0,3,0,8
gene-STARD9|STARD9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-RBM25|RBM25,51,32,48,21,22,24,20,31,19,28,56,37,41,36,41
gene-PCNX1|PCNX1,0,0,0,0,20,0,0,12,0,0,0,26,17,0,0
gene-SIPA1L1|SIPA1L1,22,21,19,14,15,15,19,0,13,18,19,34,13,0,11
gene-ERH|ERH,34,56,84,54,67,33,66,56,52,56,97,109,50,36,55
gene-SRSF5|SRSF5,4459,5960,4646,2292,1283,4157,4754,4827,3812,4641,6718,6195,4676,4726,5916
gene-DCAF5|DCAF5,0,37,0,18,37,0,0,0,0,36,54,30,0,16,0
gene-LOC128412226|LOC128412226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ACTN1|ACTN1,27,32,20,41,51,15,9,13,25,19,23,18,8,7,22
gene-TRNAF-GAA|TRNAF-GAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZFP36L1|ZFP36L1,28,20,24,13,22,11,0,7,18,25,33,14,21,27,4
gene-LOC128412262|LOC128412262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128412256|LOC128412256,281,202,102,115,116,143,124,179,140,201,300,190,118,145,79
gene-ARG2|ARG2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-VTI1B|VTI1B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-EIF2S1|EIF2S1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
gene-PALS1|PALS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-RAD51B|RAD51B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128412353|LOC128412353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-KBTBD4|KBTBD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PTPMT1|PTPMT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-FUT8|FUT8,31,7,13,0,0,0,11,13,17,8,0,4,7,0,5
gene-PSMC3|PSMC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SLC39A13|SLC39A13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128412663|LOC128412663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-GARIN2|GARIN2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-GPHN|GPHN,1323,673,561,475,529,476,359,365,481,505,1024,683,597,634,398
gene-MYBPC3|MYBPC3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CELF1|CELF1,1788,801,642,557,811,804,892,951,933,996,1697,1608,977,859,846
gene-MADD|MADD,33,35,63,64,43,42,26,38,16,29,74,68,40,33,31
gene-ARFGAP2|ARFGAP2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PACSIN3|PACSIN3,0,0,0,0,0,0,0,0,988,0,0,0,0,0,0
gene-ATG13|ATG13,0,20,4,8,0,0,0,6,0,7,11,0,0,8,10
gene-LOC128413159|LOC128413159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CKAP5|CKAP5,7,15,15,21,12,5,4,9,3,5,13,11,19,5,12
gene-LOC128403070|LOC128403070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-AMBRA1|AMBRA1,97,76,39,60,100,72,54,47,36,29,52,63,32,29,40
gene-CREB3L1|CREB3L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-MAPK8IP1|MAPK8IP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-C1H11orf96|C1H11orf96,26,16,21,8,16,23,31,15,256,63,12,4,2,2,4
gene-API5|API5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-DGKZ|DGKZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PHF21A|PHF21A,61,62,37,25,24,26,52,21,78,39,61,58,51,64,67
gene-APIP|APIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-PDHX|PDHX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128413739|LOC128413739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TRIM44|TRIM44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CAT|CAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128413856|LOC128413856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128413867|LOC128413867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CAPRIN1|CAPRIN1,1649,1193,710,677,773,817,530,494,585,602,1137,739,800,712,586
gene-PPFIA1|PPFIA1,21,61,47,43,18,38,30,15,0,10,30,23,16,0,0
gene-CCND1|CCND1,47,12,16,12,33,22,9,8,16,13,32,53,12,7,11
gene-CSRP3|CSRP3,0,0,0,0,0,0,0,80,287,62,205,0,0,0,0
gene-LRRC4C|LRRC4C,12,0,0,0,0,0,0,0,0,0,0,0,5,0,0
gene-LOC128403021|LOC128403021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128413587|LOC128413587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ANO1|ANO1,0,0,0,0,0,0,6,0,0,0,12,0,0,6,0
gene-PRMT3|PRMT3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SLC6A5|SLC6A5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SHANK2|SHANK2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128413963|LOC128413963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128413955|LOC128413955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LIN7C|LIN7C,0,0,0,0,25,0,7,0,20,10,24,23,0,23,0
gene-KCNA4|KCNA4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ARL14EP|ARL14EP,191,83,66,53,73,99,59,54,56,68,83,124,99,73,52
gene-LGR4|LGR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-RCN1|RCN1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-MPPED2|MPPED2,31,19,0,4,24,9,0,0,0,14,26,14,0,0,0
gene-PAX6|PAX6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128414625|LOC128414625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-EIF3M|EIF3M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CCDC73|CCDC73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CSTF3|CSTF3,147,173,104,111,138,149,108,115,111,91,155,116,86,69,58
gene-LOC128414736|LOC128414736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-NAV2|NAV2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128414178|LOC128414178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-HIPK3|HIPK3,982,394,264,283,250,230,317,247,303,345,467,595,242,302,276
gene-DCDC1|DCDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-DNAJC24|DNAJC24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-IMMP1L|IMMP1L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ELP4|ELP4,0,0,0,0,0,0,0,7,6,0,0,0,0,5,0
gene-BTBD10|BTBD10,0,41,136,20,0,28,0,0,0,0,48,24,29,23,42
gene-BMAL1|BMAL1,0,5,9,0,0,0,5,0,0,0,0,0,6,0,0
gene-FAR1|FAR1,836,290,200,220,271,214,576,440,597,421,389,525,251,301,223
gene-MICAL2|MICAL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TEAD1|TEAD1,0,17,17,13,27,0,21,0,0,8,19,67,25,0,12
gene-USP47|USP47,65,78,106,31,49,54,63,40,66,54,106,90,73,68,66
gene-LOC128415196|LOC128415196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-CTR9|CTR9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-AMPD3|AMPD3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-SWAP70|SWAP70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-ZNF143|ZNF143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-TMEM41B|TMEM41B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128403303|LOC128403303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-RPL27A|RPL27A,6,6,19,5,11,3,9,18,9,8,26,12,10,6,15
gene-LOC128403298|LOC128403298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene-LOC128403288|LOC128403288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
